timestamp,full_time,region,work_site,male,age,education,phd,english_level,position,title,programming_language,industry,company_type,number_of_employees,total_experience,salary,salary_change,bonus
29/11/2021 11:05,1,Київ,В офісі,1,32,Вища,Немає,5,"СTO, Director of Engineering, Program Director, CEO, (co-)founder",,PHP,Fintech,Продуктова,до 10 спеціалістів,1.5,6000,500.0,
29/11/2021 11:05,1,Запоріжжя,В офісі,1,21,Середня,Немає,5,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",Middle,,"Data Science, ERP, Fintech",Аутсорсингова,до 50,3.0,1800,600.0,200
29/11/2021 11:06,1,Київ,"Частково віддалено, частково в офісі",1,36,Вища,Немає,5,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Team Lead,,"Internet of Things, Security",Продуктова,понад 1000,3.0,4600,500.0,
29/11/2021 11:06,1,Харків,В офісі,1,26,Вища,Немає,5,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",Middle,,Fintech,Аутсорсингова,понад 1000,3.0,3500,1000.0,
29/11/2021 11:06,1,Київ,Віддалено,1,24,Середня,Немає,5,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",Junior,JavaScript,"low-code, CRM",Продуктова,до 1000,0.25,1500,250.0,
29/11/2021 11:06,1,Київ,Віддалено,1,39,Вища,Немає,6,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Manager,C# / .NET,"E-commerce, Fintech",Аутсорсингова,понад 1000,10.0,4845,800.0,2000
29/11/2021 11:06,1,Київ,Віддалено,1,33,Вища,Немає,5,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",Senior,,"Automotive, Embedded, Machine Learning",Аутсорсингова,понад 1000,10.0,4400,600.0,1150
29/11/2021 11:07,1,Київ,В офісі,1,37,Дві вищі,Немає,6,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Team Lead,JavaScript,"Fintech, Machine Learning, Conversational AI",Продуктова,до 1000,3.0,3300,2000.0,2000
29/11/2021 11:07,1,Київ,Віддалено,1,29,Вища,Немає,4,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Junior,,Mobile,Аутсорсингова,до 1000,0.5,700,0.0,
29/11/2021 11:07,1,Київ,В офісі,0,35,Вища,Немає,4,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,JavaScript,Hardware,Продуктова,до 50,10.0,2700,200.0,
29/11/2021 11:07,1,Львів,"Частково віддалено, частково в офісі",1,25,Вища,Немає,5,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Senior,,"E-commerce, ERP",Аутстафінгова,до 1000,5.0,3600,800.0,
29/11/2021 11:07,1,Львів,"Частково віддалено, частково в офісі",1,22,Вища,Немає,5,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",Junior,,"E-commerce, Fintech, Mobile",Аутсорсингова,до 200,1.0,1000,450.0,
29/11/2021 11:08,1,Київ,"Частково віддалено, частково в офісі",1,40,Вища,Немає,5,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Senior,Java,"Internet of Things, Mobile",Продуктова,понад 1000,7.0,3800,800.0,
29/11/2021 11:08,1,Київ,"Частково віддалено, частково в офісі",1,28,Вища,Немає,4,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Senior,Java,E-commerce,Продуктова,до 1000,6.0,2400,500.0,
29/11/2021 11:08,1,Київ,"Частково віддалено, частково в офісі",0,30,Дві вищі,Немає,5,HR,Junior,,"E-commerce, Fintech",Аутсорсингова,до 1000,1.0,800,0.0,
29/11/2021 11:09,1,Київ,"Частково віддалено, частково в офісі",0,30,Вища,Немає,6,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",Team Lead,,"E-commerce, Fintech",Продуктова,до 200,10.0,5000,600.0,2000
29/11/2021 11:09,1,Київ,"Частково віддалено, частково в офісі",1,44,Вища,Немає,4,"СTO, Director of Engineering, Program Director, CEO, (co-)founder",,,Agriculture,Продуктова,до 1000,5.0,6000,1500.0,35000
29/11/2021 11:09,1,Київ,В офісі,1,27,Вища,Немає,4,HR,Middle,,GameDev,Продуктова,до 200,5.0,1800,0.0,
29/11/2021 11:09,1,Київ,Віддалено,1,27,Вища,Немає,5,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,JavaScript,Fintech,Аутсорсингова,понад 1000,5.0,3300,0.0,150
29/11/2021 11:09,1,Київ,В офісі,0,29,Дві вищі,Немає,6,HR,Senior,,"Adtech, Media",Продуктова,до 50,3.0,1600,550.0,500
29/11/2021 11:09,1,Львів,Віддалено,1,22,Вища,Немає,5,Designer,Middle,,"E-commerce, ERP, Real Estate",Аутсорсингова,до 10 спеціалістів,5.0,2000,400.0,
29/11/2021 11:09,1,Київ,В офісі,0,24,Вища,Немає,5,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",Middle,,Fintech,Аутсорсингова,до 200,2.0,1700,400.0,
29/11/2021 11:09,1,Київ,Віддалено,1,32,Вища,Немає,4,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Senior,JavaScript,"Fintech, Real Estate",Продуктова,до 10 спеціалістів,4.0,3500,1500.0,
29/11/2021 11:09,1,Харків,Віддалено,1,34,Вища,Кандидат наук,6,"Data Science, Machine Learning, Big Data",Senior,Python,"Data Science, Logistics, Telecom",Аутсорсингова,понад 1000,10.0,5000,2000.0,
29/11/2021 11:09,1,Київ,Віддалено,1,24,Вища,Немає,5,"Analyst (Business, Data, System)",Middle,,Adtech,Продуктова,до 200,3.0,4000,2000.0,
29/11/2021 11:10,1,Львів,Віддалено,1,26,Вища,Немає,4,Support,,,"Automotive, E-commerce",Аутсорсингова,понад 1000,2.0,1000,300.0,
29/11/2021 11:10,1,Харків,"Частково віддалено, частково в офісі",1,23,Вища,Немає,4,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,Java,"E-commerce, Medtech",Аутсорсингова,до 200,1.0,1200,750.0,
29/11/2021 11:10,1,Київ,Віддалено,1,39,Вища,Немає,5,"DevOps, SysAdmin",Team Lead,Python,Cloud Computing,Продуктова,до 50,10.0,5000,200.0,9500
29/11/2021 11:10,1,Київ,Віддалено,1,21,Вища,Немає,4,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Junior,,GameDev,Аутсорсингова,понад 1000,2.0,850,200.0,
29/11/2021 11:10,1,Київ,"Частково віддалено, частково в офісі",0,36,Дві вищі,Немає,5,"Marketing, SEO, Copywriter",Middle,,Gambling,Аутстафінгова,до 1000,10.0,1000,150.0,100
29/11/2021 11:11,1,Тернопіль,Віддалено,1,38,Вища,Немає,3,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Junior,,"E-commerce, Fintech",Аутстафінгова,до 50,1.5,800,400.0,
29/11/2021 11:11,1,Київ,Віддалено,1,27,Вища,Немає,4,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,,Gambling,Аутсорсингова,до 200,3.0,2000,200.0,
29/11/2021 11:11,1,Вінниця,,1,39,Вища,Немає,5,ERP/CRM,,C# / .NET,"ERP, Medtech",Продуктова,понад 1000,6.0,3800,2500.0,100
29/11/2021 11:12,1,Київ,Віддалено,1,28,Вища,Немає,5,"Analyst (Business, Data, System)",Senior,,Fintech,Аутсорсингова,понад 1000,3.0,3500,600.0,200
29/11/2021 11:12,1,Миколаїв,В офісі,1,30,Вища,Немає,6,"DevOps, SysAdmin",Senior,,Agriculture,Аутстафінгова,до 10 спеціалістів,6.0,700,0.0,
