full_time,programming_language,total_experience,position,salary,region,english_level,title,male,company_type,year
1,,10.0,HR,4500.0,Львів,6,Head,1,Аутстафінгова,2020
1,Java,0.5,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",500.0,Київ,4,Intern/Trainee,1,Аутсорсингова,2020
1,JavaScript,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6600.0,Львів,5,Architect,1,Продуктова,2020
1,TypeScript,7.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6600.0,Київ,6,Tech Lead,1,Стартап,2020
1,,5.0,"Data Science, Machine Learning, Big Data",6000.0,Київ,6,Senior,1,Продуктова,2020
1,,9.0,"Data Science, Machine Learning, Big Data",5600.0,Київ,5,Senior,1,Продуктова,2020
0,PHP,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6500.0,Київ,6,Senior,1,Продуктова,2020
1,Java,4.0,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1350.0,Харків,5,Junior,0,Аутсорсингова,2020
1,,10.0,Support,3800.0,Київ,5,Middle,1,Аутсорсингова,2020
1,,2.0,"DevOps, SysAdmin",1800.0,Київ,4,Middle,1,Продуктова,2020
1,,3.0,"DevOps, SysAdmin",2600.0,Дніпро,4,Middle,1,Аутстафінгова,2020
0,,10.0,Security Specialist,7000.0,Запоріжжя,5,Middle,1,Продуктова,2020
1,,2.0,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",500.0,Миколаїв,5,Intern/Trainee,0,Продуктова,2020
1,,5.0,Designer,5000.0,Харків,5,Senior,1,Продуктова,2020
0,,10.0,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",7000.0,Львів,5,Senior,1,Продуктова,2020
1,JavaScript,8.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6500.0,Київ,6,Senior,1,Продуктова,2020
1,,10.0,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",6800.0,Київ,6,Senior,1,Продуктова,2020
1,,1.0,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1350.0,Київ,5,Junior,1,Аутсорсингова,2020
1,,10.0,"Analyst (Business, Data, System)",5300.0,Київ,5,Team Lead,1,Інша,2020
0,,0.25,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",500.0,Київ,4,Intern/Trainee,0,Продуктова,2020
1,PHP,6.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6500.0,Київ,4,Senior,1,Продуктова,2020
1,,0.25,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",450.0,Харків,4,Intern/Trainee,1,Аутсорсингова,2020
1,,10.0,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",6500.0,Харків,6,Middle,1,Аутсорсингова,2020
1,,10.0,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",6300.0,Львів,5,Senior,1,Аутсорсингова,2020
1,,10.0,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",6200.0,Київ,6,Senior,1,Продуктова,2020
1,Scala,9.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6500.0,Київ,4,Senior,1,Продуктова,2020
0,C#/.NET,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6500.0,Київ,5,Senior,1,Інша,2020
1,TypeScript,6.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6500.0,Київ,5,Senior,1,Продуктова,2020
1,JavaScript,5.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6500.0,Київ,6,Senior,1,Аутстафінгова,2020
1,Scala,9.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6500.0,Київ,6,Senior,1,Аутстафінгова,2020
1,,0.25,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",450.0,Львів,4,Intern/Trainee,1,Аутсорсингова,2020
1,C#/.NET,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6500.0,Київ,5,Tech Lead,1,Продуктова,2020
1,,7.0,"DevOps, SysAdmin",750.0,Тернопіль,3,Senior,1,Продуктова,2020
1,PHP,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6500.0,Київ,4,Architect,1,Аутсорсингова,2020
1,JavaScript,1.0,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1300.0,Київ,2,Junior,1,Продуктова,2020
1,SQL,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",6500.0,Львів,5,Architect,1,Аутстафінгова,2020
