english_level,full_time,total_experience,company_type,region,title,programming_language,position,male,salary,year
2,1,2.0,Продуктова,Київ,Junior,JavaScript,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,1500.0,2020
5,1,10.0,Продуктова,Львів,Senior,,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",1,7200.0,2020
5,1,10.0,Продуктова,Київ,Team Lead,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6800.0,2020
5,1,5.0,Продуктова,Івано-Франківськ,Middle,,Customer Success,1,550.0,2020
5,1,10.0,Стартап,Вінниця,Senior,,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",1,7000.0,2020
5,1,7.0,Стартап,Київ,Senior,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6780.0,2020
5,1,9.0,Аутсорсингова,Харків,Team Lead,,"Data Science, Machine Learning, Big Data",1,6100.0,2020
4,1,10.0,Продуктова,Київ,Senior,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6700.0,2020
5,1,10.0,Стартап,Харків,Tech Lead,C++,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6700.0,2020
5,1,10.0,Аутстафінгова,Київ,Team Lead,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6700.0,2020
5,1,1.0,Аутсорсингова,Київ,Junior,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,1500.0,2020
5,1,2.0,Продуктова,Київ,Junior,Java,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,1500.0,2020
5,1,6.0,Продуктова,Київ,Senior,,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",1,7000.0,2020
2,1,4.0,Продуктова,Київ,Junior,,HTML Coder,1,2300.0,2020
6,1,10.0,Продуктова,Львів,Architect,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6650.0,2020
5,1,10.0,Аутстафінгова,Київ,Tech Lead,Go,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6650.0,2020
5,1,4.0,Стартап,Київ,Middle,,Customer Success,0,1500.0,2020
5,1,2.0,Продуктова,Львів,Junior,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,1400.0,2020
5,1,10.0,Продуктова,Київ,Team Lead,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6650.0,2020
6,1,10.0,Аутстафінгова,Львів,Head,,HR,1,4500.0,2020
4,1,0.5,Аутсорсингова,Київ,Intern/Trainee,Java,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,500.0,2020
5,1,10.0,Продуктова,Львів,Architect,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6600.0,2020
6,1,7.0,Стартап,Київ,Tech Lead,TypeScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6600.0,2020
6,1,5.0,Продуктова,Київ,Senior,,"Data Science, Machine Learning, Big Data",1,6000.0,2020
5,1,9.0,Продуктова,Київ,Senior,,"Data Science, Machine Learning, Big Data",1,5600.0,2020
6,0,10.0,Продуктова,Київ,Senior,PHP,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6500.0,2020
5,1,4.0,Аутсорсингова,Харків,Junior,Java,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,1350.0,2020
5,1,10.0,Аутсорсингова,Київ,Middle,,Support,1,3800.0,2020
4,1,2.0,Продуктова,Київ,Middle,,"DevOps, SysAdmin",1,1800.0,2020
4,1,3.0,Аутстафінгова,Дніпро,Middle,,"DevOps, SysAdmin",1,2600.0,2020
5,0,10.0,Продуктова,Запоріжжя,Middle,,Security Specialist,1,7000.0,2020
5,1,2.0,Продуктова,Миколаїв,Intern/Trainee,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,500.0,2020
5,1,5.0,Продуктова,Харків,Senior,,Designer,1,5000.0,2020
5,0,10.0,Продуктова,Львів,Senior,,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",1,7000.0,2020
6,1,8.0,Продуктова,Київ,Senior,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6500.0,2020
6,1,10.0,Продуктова,Київ,Senior,,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",1,6800.0,2020
5,1,1.0,Аутсорсингова,Київ,Junior,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,1350.0,2020
5,1,10.0,Інша,Київ,Team Lead,,"Analyst (Business, Data, System)",1,5300.0,2020
4,0,0.25,Продуктова,Київ,Intern/Trainee,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,500.0,2020
4,1,6.0,Продуктова,Київ,Senior,PHP,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6500.0,2020
