timestamp,full_time,region,salary,male,age,education,phd,english_level,position,title,programming_language,industry,company_type,total_experience
30/11/2022 10:36,1,Черкаси,2000,1,35,Дві вищі,Немає,4,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,TypeScript,GameDev,Продуктова,1.5
30/11/2022 10:36,1,Рівне,400,1,26,Середня,Немає,2,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,1С,ERP,Продуктова,1.0
30/11/2022 10:36,1,Київ,1577,1,20,Студент,Немає,6,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,C++,"Manufacturing, Medtech / Healthcare, Інша",Продуктова,1.5
30/11/2022 10:36,1,Не Україна,,0,37,Вища,Немає,4,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,SQL,Retail,Продуктова,10.0
30/11/2022 10:36,1,Київ,10000,1,29,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Tech Lead,Java,"Blockchain, Fintech / Banking",Продуктова,7.0
30/11/2022 10:37,1,Львів,6600,1,29,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Python,Security,Аутстафінгова,7.0
30/11/2022 10:37,1,Не Україна,,1,27,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,PHP,E-commerce,Продуктова,5.0
30/11/2022 10:37,1,Київ,550,1,25,Вища,Немає,4,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Junior,,Gambling,Аутсорсингова,0.25
30/11/2022 10:37,1,Чернівці,5600,1,32,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Team Lead,PHP,E-commerce,Аутсорсингова,12.0
30/11/2022 10:38,1,Львів,950,1,24,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,JavaScript,"E-commerce, Fintech / Banking",Аутсорсингова,1.5
30/11/2022 10:38,1,Суми,3550,1,26,Вища,Немає,5,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,TypeScript,E-commerce,Продуктова,5.0
30/11/2022 10:38,1,Львів,2000,1,23,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Python,Fintech / Banking,Аутсорсингова,2.0
30/11/2022 10:38,1,Одеса,1800,1,34,Вища,Немає,5,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",Manager,,"Logistics, Mobile",Продуктова,4.0
30/11/2022 10:38,1,Київ,3300,0,26,Вища,Немає,5,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Senior,Python,"Machine Learning, Medtech / Healthcare, Public services / Government",Аутсорсингова,6.0
30/11/2022 10:38,1,Чернівці,4750,1,26,Вища,Немає,4,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Kotlin,Edtech / Education,Аутсорсингова,5.0
30/11/2022 10:39,1,Львів,4500,1,39,Дві вищі,Немає,6,"Analyst (Business, Data, System)",Team Lead,,"Data Science, Insurance",Аутсорсингова,7.0
30/11/2022 10:39,1,Київ,1800,1,23,Середня,Немає,5,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",Middle,,Інша,Аутсорсингова,2.0
30/11/2022 10:39,1,Не Україна,1000,1,21,Студент,Немає,3,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",Junior,Python,"E-commerce, Retail",Продуктова,1.5
30/11/2022 10:39,1,Не Україна,,1,33,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Architect,TypeScript,Fintech / Banking,Продуктова,10.0
30/11/2022 10:39,1,Не Україна,1800,1,24,Вища,Немає,3,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,PHP,"E-commerce, Public services / Government, Інша",Аутстафінгова,3.0
30/11/2022 10:39,1,Не Україна,,1,20,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Java,"Fintech / Banking, Insurance",Аутсорсингова,0.5
30/11/2022 10:40,1,Київ,2200,1,23,Вища,Немає,4,"Analyst (Business, Data, System)",Middle,,"E-commerce, Fintech / Banking",Аутсорсингова,2.0
30/11/2022 10:40,1,Київ,1400,1,22,Студент,Немає,3,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,PHP,"Adtech / Advertising, Інша",Продуктова,2.0
30/11/2022 10:40,1,Дніпро,4500,1,35,Вища,Немає,4,"DevOps, SRE",Senior,,"Media, Travel",Аутсорсингова,4.0
30/11/2022 10:40,1,Київ,5500,0,31,Вища,Немає,6,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",Head,,Fintech / Banking,Продуктова,11.0
30/11/2022 10:40,1,Київ,1850,1,33,Вища,Немає,4,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",Middle,,Public services / Government,Аутсорсингова,1.5
30/11/2022 10:40,1,Харків,5200,1,28,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Team Lead,TypeScript,"E-commerce, Retail",Аутсорсингова,6.0
30/11/2022 10:40,1,Чернівці,3040,0,26,Вища,Немає,4,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,C# / .NET,"Insurance, Medtech / Healthcare",Аутсорсингова,4.0
